"rechteckgraben";"ritus";"alterbem";"aalter";"g_loc08_id";"grabkonstr";"grabhoehenlage";"laenge";"breite";"tiefe";"leichenbeh";"holzreste";"steinpackungsunterlage";"steinabdeckung";"brandspuren";"steinkiste";"steinkranz";"steineinfassunglangseite";"steineinfassungschmalseite";"gruenspan";"ausrichtung";"kopfbekannt";"tangentiallage";"phase";"individuenzahl";"folgegrab";"zusammenmitgrab";"geschlecht";"geschlecht_arch";"g_bem"
f;560;"";534;1;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;4;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;5;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;6;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;7;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;8;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;9;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;10;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;11;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;12;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;13;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;14;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;15;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;16;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;19;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"leer

";534;7247;406;421;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"leer

";514;514;"leer

Steine, ungeordnet und regellos.

"
f;560;"leer
";534;1437;406;424;0;3;2.5;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"leer
";514;514;"leer
"
f;560;"";534;22;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;23;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;550;"leer
";534;3632;400;424;0;0;0;448;t;f;f;f;f;f;f;f;f;470;f;490;500;0;f;"leer
";514;510;"leer
"
f;556;"leer
";534;7243;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;487;502;1;f;"leer
";514;514;"leer

Urne lag auf Kohle.
"
f;556;"leer
";534;3122;406;421;0;0;0.3;444;f;f;f;f;f;f;f;f;f;470;f;487;502;1;f;"leer
";514;514;"leer
"
f;560;"leer
";534;2359;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"leer
";514;514;"leer
"
f;550;"leer
";534;137;406;420;0;0;0;448;f;t;t;f;f;f;f;f;f;470;f;490;502;0;f;"leer
";514;514;"leer
"
f;560;"";534;31;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;32;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;33;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;34;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;35;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;36;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;37;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;38;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;39;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;42;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;43;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;44;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;45;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;46;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;47;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;48;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;49;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;50;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
