"h_loc07_id";"form";"dmbreite";"laenge";"hoehe";"grabzahl";"steinkranz";"kreisgraben";"pfosten";"stele";"stratigraphie";"h_bem";"pfostenstellungen"
2153;384;0;0;0;1;f;f;f;f;f;"völlig verschleifter großer Grabhügel, Ausmaße nicht mehr rekonstruierbar
";f
12980;384;0;0;0;0;f;f;f;f;f;"leer";f
12981;384;0;0;0;0;f;f;f;f;f;"leer";f
12982;384;0;0;0;0;f;f;f;f;f;"leer";f
12983;384;0;0;0;0;f;f;f;f;f;"leer";f
12984;384;0;0;0;0;f;f;f;f;f;"leer";f
12985;384;0;0;0;0;f;f;f;f;f;"leer";f
12986;384;0;0;0;0;f;f;f;f;f;"leer";f
12987;384;0;0;0;0;f;f;f;f;f;"leer";f
12988;384;0;0;0;0;f;f;f;f;f;"leer";f
12989;384;0;0;0;0;f;f;f;f;f;"leer";f
12990;384;0;0;0;0;f;f;f;f;f;"leer";f
12991;384;0;0;0;0;f;f;f;f;f;"leer";f
12578;384;8;0;2;0;f;f;f;f;f;"Raubtrichter mit einem Dm. von 2,5 m und einer Tiefe von 1,5 m. 
";f
12620;380;15.7;0;0.76;13;f;f;f;f;f;"13 FLT-zeitliche Körpergräber mit 15 Bestattungen (2 Doppelbestattungen)

";f
12728;380;7.1;0;0.5;0;f;f;f;f;f;"leer
";f
3433;380;0;0;2;0;f;f;f;f;f;"Aufbau aus Sand und Lehm. Teilweise bereits als Sandgrube 
benutzt.

";f
3487;380;18;0;0;0;f;f;f;f;f;"Scheinbar ungestört.
";f
12890;380;0;0;0;0;f;f;f;f;f;"leer
";f
12887;384;0;0;0;0;f;f;f;f;f;"leer";f
12888;384;0;0;0;0;f;f;f;f;f;"leer";f
12891;384;0;0;0;0;f;f;f;f;f;"leer";f
12892;384;0;0;0;0;f;f;f;f;f;"leer";f
12893;384;0;0;0;0;f;f;f;f;f;"leer";f
12894;384;0;0;0;0;f;f;f;f;f;"leer";f
12895;384;0;0;0;0;f;f;f;f;f;"leer";f
12896;384;0;0;0;0;f;f;f;f;f;"leer";f
12897;384;0;0;0;0;f;f;f;f;f;"leer";f
12898;384;0;0;0;0;f;f;f;f;f;"leer";f
12899;384;0;0;0;0;f;f;f;f;f;"leer";f
12900;384;0;0;0;0;f;f;f;f;f;"leer";f
12901;384;0;0;0;0;f;f;f;f;f;"leer";f
12902;384;0;0;0;0;f;f;f;f;f;"leer";f
12903;384;0;0;0;0;f;f;f;f;f;"leer";f
12904;384;0;0;0;0;f;f;f;f;f;"leer";f
12905;384;0;0;0;0;f;f;f;f;f;"leer";f
12906;384;0;0;0;0;f;f;f;f;f;"leer";f
12907;384;0;0;0;0;f;f;f;f;f;"leer";f
12909;384;0;0;0;0;f;f;f;f;f;"leer";f
12910;384;0;0;0;0;f;f;f;f;f;"leer";f
12911;384;0;0;0;0;f;f;f;f;f;"leer";f
12912;384;0;0;0;0;f;f;f;f;f;"leer";f
12913;384;0;0;0;0;f;f;f;f;f;"leer";f
12914;384;0;0;0;0;f;f;f;f;f;"leer";f
12915;384;0;0;0;0;f;f;f;f;f;"leer";f
12916;384;0;0;0;0;f;f;f;f;f;"leer";f
12917;384;0;0;0;0;f;f;f;f;f;"leer";f
12918;384;0;0;0;0;f;f;f;f;f;"leer";f
12919;384;0;0;0;0;f;f;f;f;f;"leer";f
12920;384;0;0;0;0;f;f;f;f;f;"leer";f
12921;384;0;0;0;0;f;f;f;f;f;"leer";f
12922;384;0;0;0;0;f;f;f;f;f;"leer";f
12923;384;0;0;0;0;f;f;f;f;f;"leer";f
12924;384;0;0;0;0;f;f;f;f;f;"leer";f
12925;384;0;0;0;0;f;f;f;f;f;"leer";f
12926;384;0;0;0;0;f;f;f;f;f;"leer";f
12927;384;0;0;0;0;f;f;f;f;f;"leer";f
12928;384;0;0;0;0;f;f;f;f;f;"leer";f
12929;384;0;0;0;0;f;f;f;f;f;"leer";f
12930;384;0;0;0;0;f;f;f;f;f;"leer";f
12931;384;0;0;0;0;f;f;f;f;f;"leer";f
12932;384;0;0;0;0;f;f;f;f;f;"leer";f
12933;384;0;0;0;0;f;f;f;f;f;"leer";f
12934;384;0;0;0;0;f;f;f;f;f;"leer";f
12936;384;0;0;0;0;f;f;f;f;f;"leer";f
12948;384;0;0;0;0;f;f;f;f;f;"leer";f
12949;384;0;0;0;0;f;f;f;f;f;"leer";f
12950;384;0;0;0;0;f;f;f;f;f;"leer";f
12951;384;0;0;0;0;f;f;f;f;f;"leer";f
12954;384;0;0;0;0;f;f;f;f;f;"leer";f
12956;384;0;0;0;0;f;f;f;f;f;"leer";f
10596;384;0;0;0;1;f;f;f;f;f;"leer
";f
2169;380;60;80;6;17;f;f;f;f;f;"
";f
12966;384;0;0;0;0;f;f;f;f;f;"leer";f
12967;384;0;0;0;0;f;f;f;f;f;"leer";f
12968;384;0;0;0;0;f;f;f;f;f;"leer";f
12969;384;0;0;0;0;f;f;f;f;f;"leer";f
12970;384;0;0;0;0;f;f;f;f;f;"leer";f
12971;384;0;0;0;0;f;f;f;f;f;"leer";f
12972;384;0;0;0;0;f;f;f;f;f;"leer";f
12973;384;0;0;0;0;f;f;f;f;f;"leer";f
12974;384;0;0;0;0;f;f;f;f;f;"leer";f
12975;384;0;0;0;0;f;f;f;f;f;"leer";f
12976;384;0;0;0;0;f;f;f;f;f;"leer";f
12977;384;0;0;0;0;f;f;f;f;f;"leer";f
12978;384;0;0;0;0;f;f;f;f;f;"leer";f
12979;384;0;0;0;0;f;f;f;f;f;"leer";f
12796;384;0;0;0;0;f;f;f;f;f;"leer";f
12798;384;0;0;0;0;f;f;f;f;f;"leer";f
12799;384;0;0;0;0;f;f;f;f;f;"leer";f
12800;384;0;0;0;0;f;f;f;f;f;"leer";f
12803;384;0;0;0;0;f;f;f;f;f;"leer";f
12804;384;0;0;0;0;f;f;f;f;f;"leer";f
12805;384;0;0;0;0;f;f;f;f;f;"leer";f
12806;384;0;0;0;0;f;f;f;f;f;"leer";f
