"loc01_id";"loc01_nam";"loc01_code";"loc01_sdd";"x";"y"
0;"unbekannt";"0";0;0;0
1;"Andorra";"AD";0;2891083.56237;4740251.01254
2;"Albanien";"AL";0;4429800.62069;4615582.81711
5;"Bulgarien";"BG";0;4830848.9084;4865441.87896
6;"Bosnien-Herzigowina";"BH";0;4202189.98423;4931032.65115
7;"Weißrussland";"BY";0;4755536.521;6104951.5975
9;"Zypern";"CY";0;5732319.11928;4160718.09338
10;"Tschechien";"CZ";0;3956098.73247;5530570.80936
12;"Dänemark";"DK";0;3565762.10209;6203634.31379
13;"Spanien";"ES";0;2423770.30037;4534223.74395
14;"Estland";"EW";0;4450870.67159;6623172.40868
15;"Finnland";"FI";0;4321747.89454;7266961.22133
18;"Griechenland";"GR";0;4712744.26193;4417654.42169
19;"Ungarn";"H";0;4289284.58437;5278242.30497
21;"Irland";"IE";0;2358928.46289;6032236.15324
22;"Island";"IS";0;2229927.6818;7494243.03868
23;"Italien";"IT";0;3751941.67859;4743293.06424
24;"Litauen";"LT";0;4441549.71737;6235673.11938
26;"Lettland";"LV";0;4466441.71369;6416426.62266
27;"Malta";"M";0;3988010.51253;3986982.99647
28;"Monaco";"MC";0;3373211.74183;4846402.27701
29;"Mazedonien";"MK";0;4560190.04284;4686033.952
30;"Moldawien";"MO";0;4972023.32152;5416076.42432
31;"Kroatien";"MT";0;4337248.25251;4789405.56335
32;"Norwegen";"N";0;3748582.82454;7162339.39218
34;"Polen";"PL";0;4211353.21098;5827635.08265
35;"Portugal";"PT";0;1989966.07615;4535750.23026
36;"Rumänien";"RO";0;4739880.54225;5203649.23651
37;"Russland";"RU";0;4695143.02054;6778254.12478
38;"Serbien";"SB";0;4446766.35675;4944588.06692
39;"Schweden";"SE";0;3896838.38423;6986108.16627
40;"Slowakei";"SK";0;4271078.61358;5449756.58915
41;"Slowenien";"SL";0;3949729.28691;5125119.79756
42;"San Marino";"SM";0;3777770.59306;4873215.96274
43;"Türkei";"TR";0;5779511.57328;4666284.65596
44;"Ukraine";"UA";0;5131287.64417;5678252.67243
45;"England";"UK";0;2724659.38895;6067632.57827
3;"Österreich";"AT";0;3886816.9719;5284852.0877
4;"Belgien";"BE";0;3193423.67881;5620492.30814
8;"Schweiz";"CH";0;3441916.58687;5184820.84904
11;"Deutschland";"DE";0;3597713.95109;5664752.26268
17;"Frankreich";"FR";0;3005341.60504;5179327.33594
16;"Lichtenstein";"FL";0;3541831.2693;5222796.22507
25;"Luxembourg";"LU";0;3290978.93084;5519512.49516
33;"Niederlande";"NL";0;3267085.49855;5796868.19252
20;"Hravatska";"HR";0;4084404.49102;5015394.42168
