"loc03_id";"loc03_loc02_id";"loc03_code";"loc03_nam";"x";"y"
0;0;"0";"unbekannt";0;0
1;1;"AD";"ANDORRA";2891042.39994;4740282.17806
2;2;"AL";"SHQIPERI";4429846.58948;4615539.01476
3;3;"AT11";"BURGENLAND";4066228.07391;5294729.43483
4;3;"AT12";"NIEDERÖSTERREICH";4001042.00655;5370246.82696
5;3;"AT13";"WIEN";4048162.12951;5367531.56731
6;4;"AT21";"KÄRNTEN";3875593.07259;5193435.26863
7;4;"AT22";"STEIERMARK";3954964.99727;5254313.64942
8;5;"AT31";"OBERÖSTERREICH";3869590.75963;5345170.17144
9;5;"AT32";"SALZBURG";3808424.16827;5258230.48647
10;5;"AT33";"TIROL";3689610.46302;5231411.87543
11;5;"AT34";"VORARLBERG";3568045.86099;5233540.70756
12;6;"BE1";"REG. BRUXELLES-CAP.";3174322.8961;5643594.80776
13;7;"BE21";"ANTWERPEN";3201469.74372;5685820.09686
14;7;"BE22";"LIMBURG";3249353.17297;5656990.126
15;7;"BE23";"OOST-VLAANDEREN";3136997.44096;5668473.50063
16;7;"BE24";"VLAAMS BRABANT";3190057.94863;5646839.07418
17;7;"BE25";"WEST-VLAANDEREN";3084003.48388;5669756.64941
18;8;"BE31";"BRABANT WALLON";3188035.0509;5624152.56721
19;8;"BE32";"HAINAUT";3142585.12844;5604727.39847
20;8;"BE33";"LIEGE";3268758.91664;5603538.93824
21;8;"BE34";"LUXEMBOURG";3250077.34326;5541861.02125
22;8;"BE35";"NAMUR";3204489.53525;5577022.9122
23;9;"BG010";"BURGAS";4973607.57864;4864471.31099
24;9;"BG011";"HASKOVO";4883236.58345;4789615.41734
25;9;"BG012";"LOVEC";4802553.2595;4911589.26714
26;9;"BG013";"MIHAJLOVGRAD";4654409.48889;4923956.40273
27;9;"BG014";"PLOVDIV";4790382.574;4780196.85483
28;9;"BG015";"RAZGARD";4913300.90652;4983964.82083
29;9;"BG016";"SOFIJA-LAND";4684809.65144;4785546.61582
30;9;"BG017";"SOFIJA-STADT";4679823.5459;4828881.16383
31;9;"BG018";"VARNA";5005149.18993;4977666.16977
32;10;"BH";"BOSNA I HERCEGOVINA";4202043.69353;4930913.49483
33;11;"BY001";"BREST";4616194.01169;5932054.92331
34;11;"BY002";"GOMEL";4901555.00304;5997499.47002
35;11;"BY003";"GRODNO";4559942.73647;6072324.1429
36;11;"BY004";"MINSK";4720767.08233;6118331.01963
37;11;"BY005";"MOGILEV";4906497.53583;6154100.54886
38;11;"BY006";"VITEBSK";4759410.33824;6301465.69255
39;12;"CH011";"APPENZELL A.RH.";3527749.61411;5247525.81134
40;12;"CH012";"APPENZELL I.RH.";3531395.28678;5242184.3872
41;12;"CH013";"GLARUS";3504892.19884;5204606.44828
42;12;"CH014";"SCHAFFHAUSEN";3469656.64228;5286610.41748
43;12;"CH015";"ST. GALLEN";3522232.06773;5233661.89214
44;12;"CH016";"THURGAU";3504281.84053;5269464.94669
45;12;"CH017";"ZÜRICH";3474219.6615;5252439.57452
46;13;"CH021";"AARGAU";3436405.19773;5252744.21707
47;13;"CH022";"BASEL-LAND";3402166.28856;5257756.46587
48;13;"CH023";"BASEL-STADT";3395947.74576;5270405.03371
49;13;"CH024";"BERN";3395213.44457;5188127.03334
50;13;"CH025";"SOLOTHURN";3397282.33846;5241548.23904
51;14;"CH031";"GRAUBÜNDEN";3548092.28882;5168997.20838
52;14;"CH032";"TICINO";3485261.87664;5128765.1063
53;14;"CH033";"VALAIS";3392821.11105;5120041.35777
54;15;"CH041";"FRIBOURG";3353688.82281;5176760.60035
55;15;"CH042";"GENÈVE";3278487.22925;5123263.10552
56;15;"CH043";"JURA";3360862.12771;5247499.63323
57;15;"CH044";"NEUCHÂTEL";3330831.18354;5209115.16398
58;15;"CH045";"VAUD";3322128.65778;5164329.74844
59;16;"CH051";"LUZERN";3432668.33004;5214780.99248
60;16;"CH052";"NIDWALDEN";3454843.28348;5198761.46807
61;16;"CH053";"OBWALDEN";3442301.99487;5190652.86419
62;16;"CH054";"SCHWYZ";3481489.42835;5213515.00935
63;16;"CH055";"URI";3471663.47851;5181617.27223
64;16;"CH056";"ZUG";3464985.62034;5224486.13765
65;17;"CY010";"FAMAGUSTA";5788522.53133;4207558.79243
66;17;"CY020";"KYRENIA";5725106.82404;4189900.48858
67;17;"CY030";"LARNAKA";5762926.01718;4153966.79091
68;17;"CY040";"LEVKOSIA";5715374.10794;4161019.52713
69;17;"CY050";"LIMASSOL";5713163.57408;4122592.1858
70;17;"CY060";"PAPHOS";5668938.38049;4127150.70332
71;18;"CZ010";"JIHOCESKY KRAJ";3902249.6255;5458756.85686
72;18;"CZ011";"JIHOMORAVSKY KRAJ";4055303.70179;5477759.72979
73;18;"CZ012";"PRAHA";3891036.38947;5562424.83098
74;18;"CZ013";"SEVEROCESKY KRAJ";3866548.18643;5619678.61662
75;18;"CZ014";"SEVEROMORAVSKY KRAJ";4124645.89363;5551756.97403
76;18;"CZ015";"STREDOCESKY KRAJ";3897320.44305;5555176.05854
77;18;"CZ016";"VYCHODOCESKY KRAJ";3995025.1448;5577478.11344
78;18;"CZ017";"ZAPADOCESKY KRAJ";3793636.91639;5523449.75668
79;19;"DE11";"STUTTGART";3545758.02999;5431187.325
80;19;"DE12";"KARLSRUHE";3476759.15809;5431760.91848
81;19;"DE13";"FREIBURG";3442085.10897;5321520.62204
82;19;"DE14";"TÜBINGEN";3537648.30886;5334021.915
83;20;"DE21";"OBERBAYERN";3705158.70192;5332827.29926
84;20;"DE22";"NIEDERBAYERN";3778785.11706;5403421.34181
85;20;"DE23";"OBERPFALZ";3726054.17593;5478190.18559
86;20;"DE24";"OBERFRANKEN";3670029.73335;5548658.13854
87;20;"DE25";"MITTELFRANKEN";3629713.59771;5469322.81983
88;20;"DE26";"UNTERFRANKEN";3567988.44579;5542066.04045
89;20;"DE27";"SCHWABEN";3613314.99744;5337433.78008
90;21;"DE3";"BERLIN";3798835.10312;5827716.97965
91;22;"DE4";"BRANDENBURG";3798680.01006;5824551.67563
92;23;"DE5";"BREMEN";3483517.01271;5895106.07118
93;24;"DE6";"HAMBURG";3567379.42561;5935478.0268
94;25;"DE71";"DARMSTADT";3482589.25789;5546966.15169
95;25;"DE72";"GIESSEN";3481924.36127;5612378.11111
96;25;"DE73";"KASSEL";3531903.72765;5657526.40232
97;26;"DE8";"MECKLENBURG-VORPOMMERN";3733095.54909;5963625.54839
98;27;"DE91";"BRAUNSCHWEIG";3592619.31309;5767879.9136
99;27;"DE92";"HANNOVER";3524156.97705;5806762.94904
100;27;"DE93";"LÜNEBURG";3552047.94049;5894266.58667
101;27;"DE94";"WESER-EMS";3417980.57499;5868229.31255
102;28;"DEA1";"DÜSSELDORF";3333025.09052;5701943.08254
103;28;"DEA2";"KÖLN";3345771.51234;5634294.48166
104;28;"DEA3";"MÜNSTER";3391359.84251;5758377.37797
105;28;"DEA4";"DETMOLD";3485387.0116;5756052.06551
106;28;"DEA5";"ARNSBERG";3430809.1416;5687119.64078
107;29;"DEB1";"KOBLENZ";3393495.92967;5569352.40917
108;29;"DEB2";"TRIER";3333436.68354;5540233.9789
109;29;"DEB3";"RHEINHESSEN-PFALZ";3423552.98221;5481364.81382
110;30;"DEC";"SAARLAND";3351751.25029;5474241.26867
111;31;"DED";"SACHSEN";3804846.72581;5666531.07141
112;32;"DEE1";"DESSAU";3731317.70861;5748383.06415
113;32;"DEE2";"HALLE";3688730.44907;5696661.27473
114;32;"DEE3";"MAGDEBURG";3667841.47027;5801096.46794
115;33;"DEF";"SCHLESWIG-HOLSTEIN";3553337.59374;6006385.71071
116;34;"DEG";"THÜRINGEN";3642727.32539;5642905.23197
117;35;"DK";"DANMARK";3565830.71844;6203730.57276
118;36;"ES11";"GALICIA";2115497.51164;4876749.55701
119;36;"ES12";"PRINCIPADO DE ASTURIAS";2283929.86442;4906671.98371
120;36;"ES13";"CANTABRIA";2442251.06379;4868723.51303
121;37;"ES21";"PAIS VASCO";2554961.79808;4834005.6465
122;37;"ES22";"COMUNIDAD FORAL DE NAVARRA";2629115.14894;4781148.4302
123;37;"ES23";"LA RIOJA";2550927.53605;4747082.88529
124;37;"ES24";"ARAGON";2694192.58008;4644091.88862
125;38;"ES3";"COMUNIDAD DE MADRID";2421157.1217;4563807.1955
126;39;"ES41";"CASTILLA Y LEON";2353881.78532;4718264.2947
127;39;"ES42";"CASTILLA-LA MANCHA";2467518.25747;4453681.34946
128;39;"ES43";"EXTREMADURA";2189634.29124;4451722.75277
129;40;"ES51";"CATALUNA";2879759.07621;4657304.2725
130;40;"ES52";"COMUNIDAD VALENCIANA";2676352.79246;4408141.1473
131;40;"ES53";"ISLAS BALEARES";2973476.43943;4401605.88957
132;41;"ES61";"ANDALUCIA";2295764.47764;4236688.04539
133;41;"ES62";"REGION DE MURCIA";2577297.02668;4261572.38991
134;42;"ES7";"CANARIAS";1042534.22864;3413524.88743
135;43;"EW";"EESTI";4450897.79052;6623180.35856
136;44;"FI11";"UUSIMAA";4368775.53556;6805189.93012
137;44;"FI12";"ETELÄ-SUOMI";4323303.09355;6887344.13611
138;44;"FI13";"ITÄ-SUOMI";4469328.27599;7164465.07149
139;44;"FI14";"VÄLI-SUOMI";4260333.27756;7056722.64047
140;44;"FI15";"POHJOIS-SUOMI";4251136.79567;7544259.92539
141;45;"FI2";"AHVENANMAA/ALAND";4112953.73017;6728146.94869
142;46;"FL";"FÜRSTENTUM LIECHTENSTEIN";3541719.63631;5222610.2538
143;47;"FR1";"ILE DE FRANCE";3021424.06086;5417854.97404
144;48;"FR21";"CHAMPAGNE-ARDENNE";3172365.58126;5409592.25695
145;48;"FR22";"PICARDIE";3052143.19704;5520083.86224
146;48;"FR23";"HAUTE-NORMANDIE";2919302.82476;5503835.2467
147;48;"FR24";"CENTRE";2948365.66533;5287186.20202
148;48;"FR25";"BASSE-NORMANDIE";2801050.91918;5465322.1049
149;48;"FR26";"BOURGOGNE";3133132.32152;5245962.59892
150;49;"FR3";"NORD - PAS-DE-CALAIS";3053079.24146;5613127.79781
151;50;"FR41";"LORRAINE";3290391.47853;5406703.36985
152;50;"FR42";"ALSACE";3384391.3098;5355695.26522
153;50;"FR43";"FRANCHE-COMTE";3279814.69101;5233883.9876
154;51;"FR51";"PAYS DE LA LOIRE";2759575.77791;5307079.03187
155;51;"FR52";"BRETAGNE";2618158.25965;5405686.10449
156;51;"FR53";"POITOU-CHARENTES";2798165.18945;5154607.19845
157;52;"FR61";"AQUITAINE";2764300.24082;4955295.04154
158;52;"FR62";"MIDI PYRENEES";2895190.41235;4876322.27709
159;52;"FR63";"LIMOUSIN";2932979.80793;5097119.80231
160;53;"FR71";"RHONE-ALPES";3212982.88769;5038889.55367
161;53;"FR72";"AUVERGNE";3045676.26024;5074219.55769
162;54;"FR81";"LANGUEDOC-ROUSSILLON";3033773.56812;4845167.53252
163;54;"FR82";"PROVENCE-ALPES-COTE D´AZUR";3264163.74408;4873135.32097
164;54;"FR83";"CORSE";3508991.83232;4672800.71003
165;55;"GR11";"ANATOLIKI MAKEDONIA";4857284.95254;4686947.43727
166;55;"GR12";"KENTRIKI MAKEDONIA";4682551.23336;4605557.13855
167;55;"GR13";"DYTIKI MAKEDONIA";4561443.91307;4542823.41126
168;55;"GR14";"THESSALIA";4639089.5223;4459137.93468
169;56;"GR21";"IPEIROS";4513354.73169;4449976.21709
170;56;"GR22";"IONIA NISIA";4495404.99413;4339978.09669
171;56;"GR23";"DYTIKI ELLADA";4603623.83847;4311764.47623
172;56;"GR24";"STEREA ELLADA";4708437.98324;4370800.25773
173;56;"GR25";"PELOPONNISOS";4695876.68004;4219901.34516
174;57;"GR3";"ATTIKI";4788930.95403;4288790.98239
175;58;"GR41";"VOREIO AIGAIO";4990628.81556;4438004.45813
176;58;"GR42";"NOTIO AIGAIO";5052416.25253;4210134.76286
177;58;"GR43";"KRITI";4948344.51854;4017310.08184
178;59;"H010";"BACS-KISKUN";4295387.53857;5212229.37029
179;59;"H011";"BARANYA";4214225.84238;5141966.09896
180;59;"H012";"BÉKÉS";4416956.71375;5247717.97102
181;59;"H013";"BIHAR";4437985.56758;5333997.81718
182;59;"H014";"BORSOD-ABAUJ-ZEMPLÉN";4389223.19304;5409925.27016
183;59;"H015";"BUDAPEST";4261397.40633;5312365.21271
184;59;"H016";"CSONGRAD";4362362.06015;5204885.66222
