"loc04_id";"loc04_loc03_id";"loc04_nam";"loc04_code";"x";"y"
0;0;"unbekannt";"0";0;0
1;1;"ANDORRA";"AD";2891017.20399;4740273.12237
2;2;"SHQIPERI";"AL";4429852.6872;4615508.9296
3;3;"MITTELBURGENLAND";"AT111";4063554.08099;5290952.75718
4;3;"NORDBURGENLAND";"AT112";4080187.37234;5330946.40952
5;3;"SÜDBURGENLAND";"AT113";4049860.51055;5251862.19856
6;4;"MOSTVIERTEL-EISENWURZEN";"AT121";3947114.35309;5341405.21641
7;4;"NIEDERÖSTERREICH-SÜD";"AT122";4016992.69604;5318654.7281
8;4;"SANKT PÖLTEN";"AT123";3994406.12733;5357554.40834
9;4;"WALDVIERTEL";"AT124";3965314.786;5408726.30302
10;4;"WEINVIERTEL";"AT125";4041752.54048;5414175.14268
11;4;"WIENER UMLAND/NORDTEIL";"AT126";4045951.6343;5382216.2936
12;4;"WIENER UMLAND/SÜDTEIL";"AT127";4055468.71926;5350100.57839
13;5;"WIEN";"AT13";4048124.89461;5367537.77885
14;6;"KLAGENFURT-VILLACH";"AT211";3883136.89726;5175941.80215
15;6;"OBERKÄRNTEN";"AT212";3831252.92074;5197608.84284
16;6;"UNTERKÄRNTEN";"AT213";3925419.44029;5199125.42953
17;7;"GRAZ";"AT221";3984567.33335;5240832.53208
18;7;"LIEZEN";"AT222";3892077.6773;5277804.24966
19;7;"ÖSTLICHE OBERSTEIERMARK";"AT223";3968254.13431;5284072.51474
20;7;"OSTSTEIERMARK";"AT224";4017701.38623;5246508.71592
21;7;"WEST- UND SÜDSTEIERMARK";"AT225";3977033.12798;5212151.99244
22;7;"WESTLICHE OBERSTEIERMARK";"AT226";3911699.59303;5242255.22283
23;8;"INNVIERTEL";"AT311";3827651.49791;5354353.42052
24;8;"LINZ-WELS";"AT312";3882167.64062;5357750.66419
25;8;"MÜHLVIERTEL";"AT313";3900737.89018;5382786.60072
26;8;"STEYR-KIRCHDORF";"AT314";3898664.73837;5316407.32212
27;8;"TRAUNVIERTEL";"AT315";3848710.45792;5311727.19238
28;9;"LUNGAU";"AT321";3853979.02876;5233046.36419
29;9;"PINZGAU-PONGAU";"AT322";3794872.10368;5247697.71234
30;9;"SALZBURG UND UMGEBUNG";"AT323";3815812.88198;5298968.80579
31;10;"AUSSERFERN";"AT331";3619665.2529;5250249.12098
32;10;"INNSBRUCK";"AT332";3677631.34806;5231656.86874
33;10;"OSTTIROL";"AT333";3768338.00188;5202346.81388
34;10;"TIROLER OBERLAND";"AT334";3629011.98588;5215055.48263
35;10;"TIROLER UNTERLAND";"AT335";3728437.13265;5254564.98607
36;11;"BLUDENZ-BREGENZER WALD";"AT341";3572924.25623;5227776.27609
37;11;"RHEINTAL-BODENSEEGEBIET";"AT342";3555091.04086;5248755.20173
38;12;"REG. BRUXELLES-CAP.";"BE1";3174503.16986;5643749.13651
39;13;"ANTWERPEN (ARR)";"BE211";3187285.11831;5692519.14224
40;13;"MECHELEN";"BE212";3186981.97942;5669762.87473
41;13;"TURNHOUT";"BE213";3217475.52466;5687294.92374
42;14;"HASSELT";"BE221";3238972.6649;5653390.54379
43;14;"MAASEIK";"BE222";3256068.76339;5673363.73582
44;14;"TONGEREN";"BE223";3254607.11497;5639465.35489
45;15;"AALST";"BE231";3145099.99998;5649940.67547
46;15;"DENDERMONDE";"BE232";3152302.47136;5667805.84349
47;15;"EEKLO";"BE233";3123106.59047;5690097.99788
48;15;"GENT (ARR)";"BE234";3126750.693;5672017.33353
49;15;"OUDENAARDE";"BE235";3122920.7109;5646659.14933
50;15;"SINT-NIKLAAS";"BE236";3161265.9485;5684743.78363
51;16;"HALLE-VILVOORDE";"BE241";3167588.63901;5645887.56075
52;16;"LEUVEN";"BE242";3208200.37993;5647816.3408
53;17;"BRUGGE";"BE251";3097147.42006;5690001.08992
54;17;"DIKSMUIDE";"BE252";3071678.14705;5671755.55787
55;17;"IEPER";"BE253";3068113.8409;5652838.85358
56;17;"KORTRIJK";"BE254";3100395.88406;5646978.72194
57;17;"OOSTENDE";"BE255";3078243.53674;5688689.98911
58;17;"ROESELARE";"BE256";3087693.76729;5661616.18248
59;17;"TIELT";"BE257";3101836.59953;5666996.61119
60;17;"VEURNE";"BE258";3057796.80765;5676132.3824
61;18;"BRABANT WALLON";"BE31";3188136.0557;5624243.78734
62;19;"ATH";"BE321";3126410.00136;5623214.29907
63;19;"CHARLEROI";"BE322";3174873.92271;5601377.46711
64;19;"MONS";"BE323";3136302.82411;5602395.52491
65;19;"MOUSCRON";"BE324";3081683.84996;5640092.90177
66;19;"SOIGNIES";"BE325";3149651.56829;5618603.81319
67;19;"THUIN";"BE326";3161888.09113;5574843.97526
68;19;"TOURNAI";"BE327";3107755.35693;5623366.41892
69;20;"HUY";"BE331";3240429.43739;5601950.52549
70;20;"LIEGE (ARR)";"BE332";3259983.02106;5614297.34139
71;20;"VERVIERS";"BE333";3288610.63383;5596166.57957
72;20;"WAREMME";"BE334";3231956.55528;5621221.27373
73;21;"ARLON";"BE341";3267966.04978;5509816.19091
74;21;"BASTOGNE";"BE342";3267380.23501;5554864.04695
75;21;"MARCHE-EN-FAMENNE";"BE343";3250408.04102;5572055.57371
76;21;"NEUFCHATEAU";"BE344";3234089.76111;5536872.31138
77;21;"VIRTON";"BE345";3246804.98109;5508907.125
78;22;"DINANT";"BE351";3216294.44675;5566212.08875
79;22;"NAMUR (ARR)";"BE352";3205741.9644;5599966.3343
80;22;"PHILIPPEVILLE";"BE353";3182505.40791;5566331.14346
81;23;"BURGAS";"BG010";4973635.27134;4864456.49461
82;24;"HASKOVO";"BG011";4883361.66798;4789644.98174
83;25;"LOVEC";"BG012";4802676.11036;4911699.58041
84;26;"MIHAJLOVGRAD";"BG013";4654447.09694;4923980.78561
85;27;"PLOVDIV";"BG014";4790437.93928;4780223.93146
86;28;"RAZGARD";"BG015";4913273.01374;4984034.72964
87;29;"SOFIJA-LAND";"BG016";4684841.2336;4785527.94354
88;30;"SOFIJA-STADT";"BG017";4679957.7334;4829032.19864
89;31;"VARNA";"BG018";5005191.32965;4977701.76233
90;32;"BOSNA I HERCEGOVINA";"BH";4202196.33028;4931002.00412
91;33;"BREST";"BY001";4616210.06346;5932129.71722
92;34;"GOMEL";"BY002";4901432.78101;5997401.11303
93;35;"GRODNO";"BY003";4559921.05878;6072330.28924
94;36;"MINSK";"BY004";4720725.30348;6118326.37571
95;37;"MOGILEV";"BY005";4906537.13388;6154264.42916
96;38;"VITEBSK";"BY006";4759356.53451;6301555.52171
97;39;"APPENZELL A.RH.";"CH011";3527804.3555;5247605.82547
98;40;"APPENZELL I.RH.";"CH012";3531322.52954;5242200.80346
99;41;"GLARUS";"CH013";3504948.51646;5204620.79622
100;42;"SCHAFFHAUSEN";"CH014";3469750.05972;5286777.4148
101;43;"ST. GALLEN";"CH015";3522098.81052;5233600.91316
102;44;"THURGAU";"CH016";3504246.03126;5269340.11509
103;45;"ZÜRICH";"CH017";3474189.0681;5252467.78049
104;46;"AARGAU";"CH021";3436316.70535;5252691.6438
105;47;"BASEL-LAND";"CH022";3402154.23917;5257743.10231
106;48;"BASEL-STADT";"CH023";3395936.37158;5270493.55081
107;49;"BERN";"CH024";3395076.62753;5187997.87642
108;50;"SOLOTHURN";"CH025";3397137.63527;5241440.37239
109;51;"GRAUBÜNDEN";"CH031";3548065.81929;5168863.32728
110;52;"TICINO";"CH032";3485202.39089;5128738.4526
111;53;"VALAIS";"CH033";3392690.40697;5119951.96744
112;54;"FRIBOURG";"CH041";3353634.7139;5176838.84504
113;55;"GENÈVE";"CH042";3278569.71722;5123272.37991
114;56;"JURA";"CH043";3360860.16572;5247494.87468
115;57;"NEUCHÂTEL";"CH044";3330968.05799;5209256.06273
116;58;"VAUD";"CH045";3322119.34563;5164395.47786
117;59;"LUZERN";"CH051";3432657.76285;5214752.83076
118;60;"NIDWALDEN";"CH052";3454879.20849;5198692.46258
119;61;"OBWALDEN";"CH053";3442292.70275;5190629.66635
120;62;"SCHWYZ";"CH054";3481566.61217;5213543.12586
121;63;"URI";"CH055";3471795.69517;5181748.65804
122;64;"ZUG";"CH056";3464993.36904;5224495.99702
123;65;"FAMAGUSTA";"CY010";5788418.88805;4207493.78613
124;66;"KYRENIA";"CY020";5724978.65337;4189816.07126
125;67;"LARNAKA";"CY030";5762844.98891;4153875.98901
126;68;"LEVKOSIA";"CY040";5715448.17382;4160992.34903
127;69;"LIMASSOL";"CY050";5712982.73076;4122504.38505
128;70;"PAPHOS";"CY060";5668975.60707;4127135.6056
129;71;"JIHOCESKY KRAJ";"CZ010";3902194.07846;5458754.25972
130;72;"JIHOMORAVSKY KRAJ";"CZ011";4055288.19552;5477829.39312
131;73;"PRAHA";"CZ012";3891139.91927;5562527.09181
132;74;"SEVEROCESKY KRAJ";"CZ013";3866442.52152;5619594.45546
133;75;"SEVEROMORAVSKY KRAJ";"CZ014";4124597.09802;5551775.72412
134;76;"STREDOCESKY KRAJ";"CZ015";3897347.10292;5555147.34846
135;77;"VYCHODOCESKY KRAJ";"CZ016";3995112.96081;5577638.16016
136;78;"ZAPADOCESKY KRAJ";"CZ017";3793559.2565;5523535.56839
137;79;"STUTTGART";"DE111";3512873.99533;5404332.8471
138;79;"BÖBLINGEN";"DE112";3495943.73323;5393616.41566
139;79;"ESSLINGEN";"DE113";3527220.11057;5390237.65776
140;79;"GÖPPINGEN";"DE114";3552833.13156;5392066.97094
141;79;"LUDWIGSBURG";"DE115";3509170.39024;5422687.51033
142;79;"REMS-MURR-KREIS";"DE116";3536651.77091;5418207.37925
143;79;"HEILBRONN";"DE117";3513360.34562;5446194.19309
144;79;"HEILBRONN";"DE118";3513983.00351;5449031.59828
145;79;"HOHENLOHEKREIS";"DE119";3544743.49369;5459732.94684
146;79;"SCHWÄBISCH HALL";"DE11A";3566061.72275;5445694.98027
147;79;"MAIN-TAUBER-KREIS";"DE11B";3552318.97158;5491859.48903
148;79;"HEIDENHEIM";"DE11C";3586962.55799;5392410.70521
149;79;"OSTALBKREIS";"DE11D";3579678.66009;5416172.48059
150;80;"BADEN-BADEN";"DE121";3443741.54238;5401542.18492
151;80;"KARLSRUHE";"DE122";3457108.62671;5430767.71928
152;80;"KARLSRUHE";"DE123";3468183.58737;5438498.49778
153;80;"RASTATT";"DE124";3444470.73056;5403089.43484
154;80;"HEIDELBERG";"DE125";3478023.93048;5474316.34172
155;80;"MANNHEIM";"DE126";3464018.40433;5484993.70006
156;80;"NECKAR-ODENWALD-KREIS";"DE127";3520354.06985;5481192.11868
157;80;"RHEIN-NECKAR-KREIS";"DE128";3483183.26678;5470218.18882
158;80;"PFORZHEIM";"DE129";3479047.34369;5415651.49532
159;80;"CALW";"DE12A";3473340.08505;5393627.11257
160;80;"ENZKREIS";"DE12B";3480757.32105;5419694.67157
161;80;"FREUDENSTADT";"DE12C";3460750.98294;5370967.60039
162;81;"FREIBURG IM BREISGAU";"DE131";3412200.12588;5317878.4981
163;81;"BREISGAU-HOCHSCHWARZWALD";"DE132";3420040.2264;5310217.7841
164;81;"EMMENDINGEN";"DE133";3418468.16868;5335049.60698
165;81;"ORTENAUKREIS";"DE134";3427416.96133;5365136.18479
166;81;"ROTTWEIL";"DE135";3465514.05599;5346304.20444
167;81;"SCHWARZWALD-BAAR-KREIS";"DE136";3456404.47825;5320092.64304
168;81;"TUTTLINGEN";"DE137";3484894.93856;5319230.21521
169;81;"KONSTANZ";"DE138";3493466.0651;5295388.32975
170;81;"LÖRRACH";"DE139";3408419.42983;5286019.03198
171;81;"WALDSHUT";"DE13A";3441638.84316;5284503.55017
172;82;"REUTLINGEN";"DE141";3527207.74846;5363158.98533
173;82;"TÜBINGEN";"DE142";3499094.90262;5371380.07578
174;82;"ZOLLERNALBKREIS";"DE143";3495566.71861;5347543.08452
175;82;"ULM";"DE144";3570447.6985;5361751.94536
176;82;"ALB-DONAU-KREIS";"DE145";3561264.2024;5362744.82844
177;82;"BIBERACH";"DE146";3557703.21573;5330094.47908
178;82;"BODENSEEKREIS";"DE147";3530069.52372;5288218.80084
179;82;"RAVENSBURG";"DE148";3558538.73092;5298735.94137
180;82;"SIGMARINGEN";"DE149";3518123.97608;5322241.70727
181;83;"INGOLSTADT";"DE211";3676143.3527;5404739.35858
182;83;"MÜNCHEN";"DE212";3689656.02701;5338211.88099
183;83;"ROSENHEIM";"DE213";3732703.37653;5305362.893
184;83;"ALTÖTTING";"DE214";3775414.15762;5347753.71515
185;83;"BERCHTESGADENER LAND";"DE215";3792760.7089;5291861.26069
186;83;"BAD TÖLZ-WOLFRATSHAUSEN";"DE216";3686398.41416;5290510.47774
187;83;"DACHAU";"DE217";3674794.82928;5357835.7269
188;83;"EBERSBERG";"DE218";3717192.01726;5330587.30929
