"loc07_id";"loc07_loc06_id";"loc07_nam";"loc07_typ";"loc07_text_bem";"loc07_text_beschr";"loc07_text_lit";"loc07_geo_p_gk3";"x";"y";"loc07_autochron"
8;;"xx";114;"";"";"";"";;;"undatiert"
32;;"xx";114;"";"";"";"";;;"undatiert"
41;;"xx";114;"";"";"";"";;;"undatiert"
50;;"xx";114;"";"";"";"";;;"undatiert"
116;;"xx";114;"";"";"";"";;;"undatiert"
187;;"xx";114;"";"";"";"";;;"undatiert"
191;;"xx";114;"";"";"";"";;;"undatiert"
235;;"xx";114;"";"";"";"";;;"undatiert"
236;;"xx";114;"";"";"";"";;;"undatiert"
254;;"xx";114;"";"";"";"";;;"undatiert"
266;;"xx";114;"";"";"";"";;;"undatiert"
272;;"xx";114;"";"";"";"";;;"undatiert"
297;;"xx";114;"";"";"";"";;;"undatiert"
298;;"xx";114;"";"";"";"";;;"undatiert"
301;;"xx";114;"";"";"";"";;;"undatiert"
303;;"xx";114;"";"";"";"";;;"undatiert"
397;;"xx";114;"";"";"";"";;;"undatiert"
422;;"xx";114;"";"";"";"";;;"undatiert"
446;;"xx";114;"";"";"";"";;;"undatiert"
447;;"xx";114;"";"";"";"";;;"undatiert"
500;;"xx";114;"";"";"";"";;;"undatiert"
502;;"xx";114;"";"";"";"";;;"undatiert"
503;;"xx";114;"";"";"";"";;;"undatiert"
504;;"xx";114;"";"";"";"";;;"undatiert"
505;;"xx";114;"";"";"";"";;;"undatiert"
510;;"xx";114;"";"";"";"";;;"undatiert"
538;;"xx";114;"";"";"";"";;;"undatiert"
586;;"xx";114;"";"";"";"";;;"undatiert"
587;;"xx";114;"";"";"";"";;;"undatiert"
588;;"xx";114;"";"";"";"";;;"undatiert"
589;;"xx";114;"";"";"";"";;;"undatiert"
590;;"xx";114;"";"";"";"";;;"undatiert"
591;;"xx";114;"";"";"";"";;;"undatiert"
592;;"xx";114;"";"";"";"";;;"undatiert"
593;;"xx";114;"";"";"";"";;;"undatiert"
594;;"xx";114;"";"";"";"";;;"undatiert"
595;;"xx";114;"";"";"";"";;;"undatiert"
596;;"xx";114;"";"";"";"";;;"undatiert"
