"loc08_id";"loc08_loc07_id";"loc08_nam";"loc08_typ";"loc08_kqual";"loc08_erhalt";"loc08_text_beschr";"loc08_text_bem";"loc08_text_lit";"loc08_geo_p_gk3";"x";"y";"loc08_autochron"
1;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
9;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
38;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
59;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
84;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
108;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
112;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
162;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
195;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
208;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
221;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
239;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
240;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
241;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
242;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
243;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
244;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
245;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
246;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
247;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
248;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
249;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
250;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
251;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
252;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
253;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
283;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
284;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
327;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
328;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
329;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
