"loc09_id";"loc09_loc08_id";"loc09_nam";"loc09_typ";"loc09_text_beschr";"loc09_text_bem";"loc09_text_lit";"x";"y";"loc09_autochron"
1;;"xx";224;"";"";"";;;"undatiert"
38;;"xx";224;"";"";"";;;"undatiert"
59;;"xx";224;"";"";"";;;"undatiert"
84;;"xx";224;"";"";"";;;"undatiert"
108;;"xx";224;"";"";"";;;"undatiert"
112;;"xx";224;"";"";"";;;"undatiert"
162;;"xx";224;"";"";"";;;"undatiert"
195;;"xx";224;"";"";"";;;"undatiert"
208;;"xx";224;"";"";"";;;"undatiert"
221;;"xx";224;"";"";"";;;"undatiert"
239;;"xx";224;"";"";"";;;"undatiert"
240;;"xx";224;"";"";"";;;"undatiert"
241;;"xx";224;"";"";"";;;"undatiert"
242;;"xx";224;"";"";"";;;"undatiert"
243;;"xx";224;"";"";"";;;"undatiert"
244;;"xx";224;"";"";"";;;"undatiert"
245;;"xx";224;"";"";"";;;"undatiert"
246;;"xx";224;"";"";"";;;"undatiert"
247;;"xx";224;"";"";"";;;"undatiert"
248;;"xx";224;"";"";"";;;"undatiert"
249;;"xx";224;"";"";"";;;"undatiert"
250;;"xx";224;"";"";"";;;"undatiert"
251;;"xx";224;"";"";"";;;"undatiert"
252;;"xx";224;"";"";"";;;"undatiert"
253;;"xx";224;"";"";"";;;"undatiert"
283;;"xx";224;"";"";"";;;"undatiert"
284;;"xx";224;"";"";"";;;"undatiert"
327;;"xx";224;"";"";"";;;"undatiert"
328;;"xx";224;"";"";"";;;"undatiert"
329;;"xx";224;"";"";"";;;"undatiert"
330;;"xx";224;"";"";"";;;"undatiert"
354;;"xx";224;"";"";"";;;"undatiert"
355;;"xx";224;"";"";"";;;"undatiert"
420;;"xx";224;"";"";"";;;"undatiert"
448;;"xx";224;"";"";"";;;"undatiert"
505;;"xx";224;"";"";"";;;"undatiert"
559;;"xx";224;"";"";"";;;"undatiert"
565;;"xx";224;"";"";"";;;"undatiert"
566;;"xx";224;"";"";"";;;"undatiert"
567;;"xx";224;"";"";"";;;"undatiert"
568;;"xx";224;"";"";"";;;"undatiert"
570;;"xx";224;"";"";"";;;"undatiert"
579;;"xx";224;"";"";"";;;"undatiert"
585;;"xx";224;"";"";"";;;"undatiert"
591;;"xx";224;"";"";"";;;"undatiert"
604;;"xx";224;"";"";"";;;"undatiert"
605;;"xx";224;"";"";"";;;"undatiert"
607;;"xx";224;"";"";"";;;"undatiert"
766;;"xx";224;"";"";"";;;"undatiert"
773;;"xx";224;"";"";"";;;"undatiert"
796;;"xx";224;"";"";"";;;"undatiert"
843;;"xx";224;"";"";"";;;"undatiert"
848;;"xx";224;"";"";"";;;"undatiert"
883;;"xx";224;"";"";"";;;"undatiert"
884;;"xx";224;"";"";"";;;"undatiert"
955;;"xx";224;"";"";"";;;"undatiert"
962;;"xx";224;"";"";"";;;"undatiert"
963;;"xx";224;"";"";"";;;"undatiert"
966;;"xx";224;"";"";"";;;"undatiert"
967;;"xx";224;"";"";"";;;"undatiert"
995;;"xx";224;"";"";"";;;"undatiert"
996;;"xx";224;"";"";"";;;"undatiert"
1000;;"xx";224;"";"";"";;;"undatiert"
1001;;"xx";224;"";"";"";;;"undatiert"
1022;;"xx";224;"";"";"";;;"undatiert"
1023;;"xx";224;"";"";"";;;"undatiert"
1024;;"xx";224;"";"";"";;;"undatiert"
1055;;"xx";224;"";"";"";;;"undatiert"
1087;;"xx";224;"";"";"";;;"undatiert"
1088;;"xx";224;"";"";"";;;"undatiert"
1089;;"xx";224;"";"";"";;;"undatiert"
1092;;"xx";224;"";"";"";;;"undatiert"
1093;;"xx";224;"";"";"";;;"undatiert"
1104;;"xx";224;"";"";"";;;"undatiert"
1118;;"xx";224;"";"";"";;;"undatiert"
1129;;"xx";224;"";"";"";;;"undatiert"
1131;;"xx";224;"";"";"";;;"undatiert"
1132;;"xx";224;"";"";"";;;"undatiert"
1136;;"xx";224;"";"";"";;;"undatiert"
1137;;"xx";224;"";"";"";;;"undatiert"
1138;;"xx";224;"";"";"";;;"undatiert"
1175;;"xx";224;"";"";"";;;"undatiert"
1176;;"xx";224;"";"";"";;;"undatiert"
1184;;"xx";224;"";"";"";;;"undatiert"
1185;;"xx";224;"";"";"";;;"undatiert"
1186;;"xx";224;"";"";"";;;"undatiert"
1187;;"xx";224;"";"";"";;;"undatiert"
1189;;"xx";224;"";"";"";;;"undatiert"
1204;;"xx";224;"";"";"";;;"undatiert"
1210;;"xx";224;"";"";"";;;"undatiert"
1240;;"xx";224;"";"";"";;;"undatiert"
1261;;"xx";224;"";"";"";;;"undatiert"
1270;;"xx";224;"";"";"";;;"undatiert"
1273;;"xx";224;"";"";"";;;"undatiert"
1276;;"xx";224;"";"";"";;;"undatiert"
1277;;"xx";224;"";"";"";;;"undatiert"
1278;;"xx";224;"";"";"";;;"undatiert"
1279;;"xx";224;"";"";"";;;"undatiert"
1285;;"xx";224;"";"";"";;;"undatiert"
1286;;"xx";224;"";"";"";;;"undatiert"
1287;;"xx";224;"";"";"";;;"undatiert"
1288;;"xx";224;"";"";"";;;"undatiert"
1294;;"xx";224;"";"";"";;;"undatiert"
1296;;"xx";224;"";"";"";;;"undatiert"
1303;;"xx";224;"";"";"";;;"undatiert"
1310;;"xx";224;"";"";"";;;"undatiert"
1312;;"xx";224;"";"";"";;;"undatiert"
1313;;"xx";224;"";"";"";;;"undatiert"
1324;;"xx";224;"";"";"";;;"undatiert"
1329;;"xx";224;"";"";"";;;"undatiert"
1330;;"xx";224;"";"";"";;;"undatiert"
1332;;"xx";224;"";"";"";;;"undatiert"
1333;;"xx";224;"";"";"";;;"undatiert"
1334;;"xx";224;"";"";"";;;"undatiert"
1335;;"xx";224;"";"";"";;;"undatiert"
1340;;"xx";224;"";"";"";;;"undatiert"
1344;;"xx";224;"";"";"";;;"undatiert"
1346;;"xx";224;"";"";"";;;"undatiert"
1347;;"xx";224;"";"";"";;;"undatiert"
1348;;"xx";224;"";"";"";;;"undatiert"
1350;;"xx";224;"";"";"";;;"undatiert"
1352;;"xx";224;"";"";"";;;"undatiert"
1355;;"xx";224;"";"";"";;;"undatiert"
1361;;"xx";224;"";"";"";;;"undatiert"
1363;;"xx";224;"";"";"";;;"undatiert"
1371;;"xx";224;"";"";"";;;"undatiert"
1375;;"xx";224;"";"";"";;;"undatiert"
1376;;"xx";224;"";"";"";;;"undatiert"
1379;;"xx";224;"";"";"";;;"undatiert"
1397;;"xx";224;"";"";"";;;"undatiert"
1398;;"xx";224;"";"";"";;;"undatiert"
1399;;"xx";224;"";"";"";;;"undatiert"
1403;;"xx";224;"";"";"";;;"undatiert"
1404;;"xx";224;"";"";"";;;"undatiert"
1405;;"xx";224;"";"";"";;;"undatiert"
1406;;"xx";224;"";"";"";;;"undatiert"
1417;;"xx";224;"";"";"";;;"undatiert"
1418;;"xx";224;"";"";"";;;"undatiert"
1420;;"xx";224;"";"";"";;;"undatiert"
1424;;"xx";224;"";"";"";;;"undatiert"
1425;;"xx";224;"";"";"";;;"undatiert"
1426;;"xx";224;"";"";"";;;"undatiert"
1429;;"xx";224;"";"";"";;;"undatiert"
1431;;"xx";224;"";"";"";;;"undatiert"
1432;;"xx";224;"";"";"";;;"undatiert"
1433;;"xx";224;"";"";"";;;"undatiert"
1457;;"xx";224;"";"";"";;;"undatiert"
1464;;"xx";224;"";"";"";;;"undatiert"
1465;;"xx";224;"";"";"";;;"undatiert"
1475;;"xx";224;"";"";"";;;"undatiert"
1476;;"xx";224;"";"";"";;;"undatiert"
1482;;"xx";224;"";"";"";;;"undatiert"
1483;;"xx";224;"";"";"";;;"undatiert"
1486;;"xx";224;"";"";"";;;"undatiert"
1487;;"xx";224;"";"";"";;;"undatiert"
1488;;"xx";224;"";"";"";;;"undatiert"
1490;;"xx";224;"";"";"";;;"undatiert"
1491;;"xx";224;"";"";"";;;"undatiert"
1492;;"xx";224;"";"";"";;;"undatiert"
1493;;"xx";224;"";"";"";;;"undatiert"
1502;;"xx";224;"";"";"";;;"undatiert"
1504;;"xx";224;"";"";"";;;"undatiert"
1505;;"xx";224;"";"";"";;;"undatiert"
1506;;"xx";224;"";"";"";;;"undatiert"
1507;;"xx";224;"";"";"";;;"undatiert"
1508;;"xx";224;"";"";"";;;"undatiert"
1509;;"xx";224;"";"";"";;;"undatiert"
1510;;"xx";224;"";"";"";;;"undatiert"
1511;;"xx";224;"";"";"";;;"undatiert"
1512;;"xx";224;"";"";"";;;"undatiert"
1513;;"xx";224;"";"";"";;;"undatiert"
1515;;"xx";224;"";"";"";;;"undatiert"
1518;;"xx";224;"";"";"";;;"undatiert"
1525;;"xx";224;"";"";"";;;"undatiert"
1526;;"xx";224;"";"";"";;;"undatiert"
1527;;"xx";224;"";"";"";;;"undatiert"
1530;;"xx";224;"";"";"";;;"undatiert"
1589;;"xx";224;"";"";"";;;"undatiert"
1615;;"xx";224;"";"";"";;;"undatiert"
1618;;"xx";224;"";"";"";;;"undatiert"
1621;;"xx";224;"";"";"";;;"undatiert"
1625;;"xx";224;"";"";"";;;"undatiert"
1627;;"xx";224;"";"";"";;;"undatiert"
1634;;"xx";224;"";"";"";;;"undatiert"
1636;;"xx";224;"";"";"";;;"undatiert"
1640;;"xx";224;"";"";"";;;"undatiert"
1648;;"xx";224;"";"";"";;;"undatiert"
1649;;"xx";224;"";"";"";;;"undatiert"
1650;;"xx";224;"";"";"";;;"undatiert"
1659;;"xx";224;"";"";"";;;"undatiert"
1662;;"xx";224;"";"";"";;;"undatiert"
1669;;"xx";224;"";"";"";;;"undatiert"
