"d_klassen_id";"d_klasse";"d_name";"d_code";"d_text_beschr";"d_text_bem";"d_text_lit";"tg"
21672;"B213538";"Schmuck>Halsring>Spiral>Querschnitt C>offen>vasenförmig";"B213538";">vasenförmig";"None";"x";"x"
10747;"A";"Material";"A";"";"";"";""
20284;"B126533";"Gefaess>Breitform>Metallgef.>gerade>Omphalos>weitmundig";"B126533";"weitmundig";"B12653";"None";"None"
19080;"B124912";"Gefaess>Breitform>Knickwand>Sonstige>Fuss>normalmundig";"B124912";"normalmundig";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
17;"A241";"Silber";"A241";"Silber";"A24";"";""
18;"A242";"Gold";"A242";"Gold";"A24";"";""
44;"A325";"Stein>Metamorphit>Phyllit";"A325";"Phyllit";"A32";"";""
108;"B11133";"Gefäß>Hochform>rundlich>ausgeschwungen>Omphalos";"B11133";"Omphalosboden";"B1113";"";""
140;"B11173";"Gefäß>Hochform>rundlich>eingecknickt>Omphalos";"B11173";"Omphalosboden";"B1117";"";""
10338;"B213137";"Schmuck>Halsring>Spiral>Querschnitt O>offen>spitz";"B213137";">spitz";"None";"x";"x"
101;"B11124";"Gefäß>Hochform>rundlich>Schrägrand>flachbodig";"B11124";"flacher oder leicht eingewölbter Boden";"B1112";"";""
3867;"B624";"Geräte>Toilettgerät>Ohrlöffel";"B624";"Ohrlöffel";"B62";"";""
6297;"B23173";"Schmuck>Armring>Massiv>Querschnitt T>offen";"B23173";">offen";"None";"x";"x"
875;"B12414";"Gefäß>Breitform>Knickwand>Zylinderhals>flachbodig";"B12414";"flacher oder leicht eingewölbter Boden";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"";""
10199;"B233336";"Schmuck>Armring>Spiral>Querschnitt K>offen>Kugel";"B233336";">Kugel";"None";"x";"x"
76;"A4";"Organisches";"A4";"Organisches";"A";"";""
3874;"B632";"Geräte>Grillgerät>Feuerbock";"B632";"Feuerbock";"B63";"";""
43;"A324";"Stein>Metamorphit>Gneis";"A324";"Gneis";"A32";"";""
6855;"B293912";"Schmuck>sonstiger Ring>Spiral>Querschnitt S>geschlossen>umwickelt";"B293912";">umwickelt";"None";"x";"x"
920;"B12471";"Gefäß>Breitform>Knickwand>eingecknickt>Fuß";"B12471";"deutlich abgesetzter Fuß, etwa Eierbecher";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"";""
921;"B12472";"Gefäß>Breitform>Knickwand>eingecknickt>Standring";"B12472";"Standring";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"";""
922;"B12473";"Gefäß>Breitform>Knickwand>eingecknickt>Omphalos";"B12473";"Omphalosboden";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"";""
19416;"B125412";"Gefaess>Breitform>Bauchknick>steil>Fuss>normalmundig";"B125412";"normalmundig";"B12541";"None";"None"
9673;"B221834";"Schmuck>Schlaefenschm>Massiv>Querschnitt P>offen>Scheibe";"B221834";">Scheibe";"None";"x";"x"
6263;"B22273";"Schmuck>Schlaefenschm>Blech>Querschnitt T>offen";"B22273";">offen";"None";"x";"x"
6268;"B22333";"Schmuck>Schlaefenschm>Spiral>Querschnitt K>offen";"B22333";">offen";"None";"x";"x"
7362;"B229119";"Schmuck>Schlaefenschm>Sonst>Querschnitt O>geschlossen>sonstiges";"B229119";">sonstiges";"None";"x";"x"
22206;"E234504";"Typ La Mouleyre";"E234504";"";"Verbreitung: Haute – Loire; Datierung: Ha D1-2";"P.-Y. Milcent, Le premiere âge du Fer en France centrale. In: Société préhistorique Française (Toulouse 2004).";"0"
22293;"E24140402";"Typ Saint-Ybard";"E24140402";"Definitionsmerkmale: offener Bronzebeinring mit Querstreifenverzierung, welche durch plastische Knubben in regelmäßigen Abständen unterbrochen wird";"Verbreitung: Puy-de-Dôme, Corrèze; Datierung: Hallstatt D1-2";"P.-Y. Milcent, Le premier âge du Fer en France centrale. In: Société préhistorique Française (Toulouse 2004) 173.";"0"
22420;"E312903";"Hörnchenfibel Form C";"E312903";"Definitionsmerkmale: bewegliche Hörnchen";"Verbreitung: siehe Karte; Datierung: keine Datierungsmöglichkeit für die Exemplare aus Hallstatt, Funde in Italien datierbar";"Glunz, Bettina E.; Studien zu den Fibeln aus dem Gräberfeld von Hallstatt; S.79-84.";"0"
22784;"E520107";"Bronzetrensen mit Zügelringen";"E520107";"";"Verbreitung: siehe Karte; Datierung: Leittypen der Kossack Stufe HaC1  ";"C. F. E. Pare, Wagons and Wagon-Graves of the Early Iron Age in Central Europe. Oxford University Committee for Archaeology Monograph Nr. 35 (Oxford 1992) 136.";"0"
22989;"B32412";"Kleidung und -zubehör>Nadel>Schleifenhals>Kugelkopf>Zweischalennadel";"B32412";"Zweischalennadel";"B321";"";""
10978;"A47";"Organisches>Zahn";"A47";"Zahn";"";"";""
1430;"B19541";"Gefäß>Sonstige>Bauchknick>steil>Fuß";"B19541";"deutlich abgesetzter Fuß, etwa Eierbecher";"B1954";"";""
1137;"B1914";"Gefäß>Sonstige>rundlich>steil";"B1914";"Steilrand ";"B191";"";""
91;"B11112";"Gefäß>Hochform>rundlich>Zylinderhals>Standring";"B11112";"Standring";"B1111";"";""
10851;"B232527";"Schmuck>Armring>Blech>Querschnitt C>verbunden>Muffe";"B232527";">Muffe";"None";"x";"x"
1025;"B1262";"Gefäß>Breitform>Metallgef.>Schrägrand";"B1262";"Schrägrand / abges. Rand";"B126";"";""
10977;"B290000";"Schmuck>weiter zu den Sonderformen";"B290000";"Sonderformen";"";"";""
10152;"B222836";"Schmuck>Schlaefenschm>Blech>Querschnitt P>offen>Kugel";"B222836";">Kugel";"None";"x";"x"
10370;"B223137";"Schmuck>Schlaefenschm>Spiral>Querschnitt O>offen>spitz";"B223137";">spitz";"None";"x";"x"
6282;"B22913";"Schmuck>Schlaefenschm>Sonst>Querschnitt O>offen";"B22913";">offen";"None";"x";"x"
10831;"B229227";"Schmuck>Schlaefenschm>Sonst>Querschnitt Q>verbunden>Muffe";"B229227";">Muffe";"None";"x";"x"
21955;"E120832";"Fußschälchen auch „Eierbecher“";"E120832";"Definitionsmerkmale: Charakteristisch ist das flach schalenförmige Oberteil ebenso wie der hohe, unten ausladende und etwas hohle Fuß. ";"Verbreitung: siehe Karte; Datierung: keine Angaben";"S. Hornung, Die südöstliche Hunsrück-Eifel-Kultur, Studien zur Späthallstatt- und Frühlaténezeit in der deutschen Mittelgebirgsregion. Bd 153 Teil I (Bonn 2008) 109.";"0"
22599;"E4101020204";"Schwerter Typ Mindelheim Serie II Etappe 4";"E4101020204";"";"Verbreitung: siehe Fundtabelle; Datierung: spätes Ha C1";"M. Trachsel, Untersuchungen zur relativen und absoluten Chronologie der Hallstattzeit (Bonn 2004) 127.";"0"
22604;"E4101020105";"Schwerter Typ Mindelheim Serie I Etappe 5";"E4101020105";"";"Verbreitung: siehe Fundtabelle. Datierung: jüngere Datierung in Ha C ";"M. Trachsel, Untersuchungen zur relativen und absoluten Chronologie der Hallstattzeit (Bonn 2004) 127.";"0"
