"s_klassen_id";"s_klasse";"s_code";"s_name";"s_bem"
1;"Fundstellenart";"A";"Archäologisches Objekt";"None"
2;"Fundstellenart";"D";"Depotfund";"None"
3;"Fundstellenart";"E";"Einzelfund";"None"
4;"Fundstellenart";"G";"Grabfund";"None"
5;"Fundstellenart";"GS";"Grabfund, Siedlung / Produktion";"None"
6;"Fundstellenart";"I";"Infrastruktur";"None"
7;"Fundstellenart";"K";"Kult & Religion";"None"
8;"Fundstellenart";"S";"Siedlung / Produktion";"None"
9;"Fundstellenart";"SK";"Siedlung / Produktion, Kult & Religion";"None"
10;"Fundstellenart";"x";"Sonstiges";"None"
11;"Fundstellenart";"0";"Testdatensatz ohne arch. Relevanz";"None"
12;"Fundstellenart";"u";"unbekannt";"None"
13;"Fundstellenart";"0";"None";"None"
14;"Fundstellenart";"0";"None";"None"
15;"Fundstellenart";"0";"None";"None"
16;"Fundstellenart";"0";"None";"None"
17;"Fundstellenart";"0";"None";"None"
18;"Fundstellenart";"0";"None";"None"
19;"Fundstellenart";"0";"None";"None"
20;"Datierungsschlüssel_alt";"1";"undatiert";"None"
21;"Datierungsschlüssel_alt";"11";"Vorgeschichte";"None"
22;"Datierungsschlüssel_alt";"112";"Bronzezeit oder vorrömische Eisenzeit";"None"
23;"Datierungsschlüssel_alt";"1121";"Bronzezeit";"None"
24;"Datierungsschlüssel_alt";"1122";"Eisenzeit";"None"
25;"Datierungsschlüssel_alt";"11212";"Spätbronzezeit / UK";"None"
26;"Datierungsschlüssel_alt";"1123";"UK oder Hallstattzeit";"None"
27;"Datierungsschlüssel_alt";"11223";"Späthallstatt-Frühlatene";"None"
28;"Datierungsschlüssel_alt";"112221";"Ältere Latènezeit";"None"
29;"Datierungsschlüssel_alt";"112222";"Jüngere Latènezeit";"None"
30;"Datierungsschlüssel_alt";"11221";"Hallstattzeit";"None"
31;"Datierungsschlüssel_alt";"11222";"Latènezeit";"None"
32;"Datierungsschlüssel_alt";"112121";"Hallstatt-A";"None"
33;"Datierungsschlüssel_alt";"1121211";"Hallstatt-A1";"None"
34;"Datierungsschlüssel_alt";"1121212";"Hallstatt-A2";"None"
35;"Datierungsschlüssel_alt";"112122";"Hallstatt-B";"None"
36;"Datierungsschlüssel_alt";"11231";"Hallstatt-B/C";"None"
37;"Datierungsschlüssel_alt";"1121221";"Hallstatt-B1";"None"
38;"Datierungsschlüssel_alt";"1121222";"Hallstatt-B2/3";"None"
39;"Datierungsschlüssel_alt";"112211";"Hallstatt-C";"None"
40;"Datierungsschlüssel_alt";"112213";"Hallstatt-C/D1";"None"
41;"Datierungsschlüssel_alt";"1122111";"Hallstatt-C0";"None"
42;"Datierungsschlüssel_alt";"1122112";"Hallstatt-C1";"None"
43;"Datierungsschlüssel_alt";"1122113";"Hallstatt-C2";"None"
44;"Datierungsschlüssel_alt";"112212";"Hallstatt-D";"None"
45;"Datierungsschlüssel_alt";"1122121";"Hallstatt-D1";"None"
46;"Datierungsschlüssel_alt";"1122122";"Hallstatt-D2";"None"
47;"Datierungsschlüssel_alt";"1122123";"Hallstatt-D3";"None"
48;"Datierungsschlüssel_alt";"11222111";"Latene-A1";"None"
49;"Datierungsschlüssel_alt";"11222112";"Latene-A2";"None"
50;"Datierungsschlüssel_alt";"11222121";"Latene-B1";"None"
51;"Datierungsschlüssel_alt";"11222122";"Latene-B2";"None"
52;"Datierungsschlüssel_alt";"11222211";"Latene-C1";"None"
53;"Datierungsschlüssel_alt";"11222212";"Latene-C2";"None"
54;"Datierungsschlüssel_alt";"11222221";"Latene-D1";"None"
55;"Datierungsschlüssel_alt";"11222222";"Latene-D2";"None"
56;"Datierungsschlüssel_alt";"1122211";"Latene-A";"None"
57;"Datierungsschlüssel_alt";"1122212";"Latene-B";"None"
58;"Datierungsschlüssel_alt";"1122221";"Latene-C";"None"
59;"Datierungsschlüssel_alt";"1122222";"Latene-D";"None"
60;"Datierungsschlüssel_alt";"0";"None";"None"
61;"Datierungsschlüssel_alt";"0";"None";"None"
62;"Datierungsschlüssel_alt";"0";"None";"None"
63;"Datierungsschlüssel_alt";"0";"None";"None"
